"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Prueba2-Ldonovani.gff","Prueba2-Linfantum.gff","Prueba2-LmajorFriedlin.gff","Prueba2-Tbruceigambiense.gff","Prueba2-TcruziCLBrenerEsmeraldo-like.gff","Prueba2-TcruziCLBrenerNon-Esmeraldo-like.gff","Prueba2-Tevansis.gff"
"group_8372","","","2","2","1","17","65","18","9","","1175","1175","1175","","","","Tbg972.6.3640","","","TevSTIB805.6.3990"
"group_8373","","","2","2","1","17","66","18","8","","1313","1322","1317","","","","Tbg972.6.3950","","","TevSTIB805.6.4290"
"group_8375","","","2","2","1","17","68","18","7","","611","611","611","","","","Tbg972.6.4280","","","TevSTIB805.6.4630"
"group_8376","","","2","2","1","17","69","18","6","","977","977","977","","","","Tbg972.6.4290","","","TevSTIB805.6.4640"
"group_8377","","","2","2","1","17","70","18","5","","1076","1076","1076","","","","Tbg972.6.4490","","","TevSTIB805.6.4830"
"group_8378","","","2","2","1","17","73","18","4","","854","854","854","","","","Tbg972.6.4500","","","TevSTIB805.6.4840"
"group_8379","","","2","2","1","17","72","18","3","","2207","2207","2207","","","","Tbg972.6.4590","","","TevSTIB805.6.4940"
"group_8380","","","2","2","1","17","71","18","2","","2240","2240","2240","","","","Tbg972.6.4610","","","TevSTIB805.6.4950"
"group_8381","","","2","2","1","1","431","1","615","","1103","1103","1103","","","","Tbg972.7.200","","","TevSTIB805.7.240"
"group_8382","","","2","2","1","1","433","1","617","","581","581","581","","","","Tbg972.7.230","","","TevSTIB805.7.270"
"group_8383","","","2","2","1","1","434","1","618","","1088","1088","1088","","","","Tbg972.7.250","","","TevSTIB805.7.280"
"group_8384","","","2","2","1","1","435","1","619","","893","893","893","","","","Tbg972.7.320","","","TevSTIB805.7.410"
"group_8385","","","2","2","1","1","436","1","620","","2804","2804","2804","","","","Tbg972.7.330","","","TevSTIB805.7.420"
"group_8386","","","2","2","1","1","437","1","621","","4688","4688","4688","","","","Tbg972.7.400","","","TevSTIB805.7.470"
"group_8387","","","2","2","1","1","439","1","623","","833","833","833","","","","Tbg972.7.830","","","TevSTIB805.7.830"
"group_8388","","","2","2","1","1","440","1","624","","2549","2549","2549","","","","Tbg972.7.910","","","TevSTIB805.7.920"
"group_8389","","","2","2","1","1","975","1","627","","2081","2081","2081","","","","Tbg972.7.950","","","TevSTIB805.7.970"
"group_8390","","","2","2","1","1","976","1","628","","515","515","515","","","","Tbg972.7.960","","","TevSTIB805.7.980"
"group_8391","","","2","2","1","1","977","1","629","","1052","1052","1052","","","","Tbg972.7.1310","","","TevSTIB805.7.1340"
"group_8392","","","2","2","1","1","978","1","630","","1100","1100","1100","","","","Tbg972.7.1320","","","TevSTIB805.7.1350"
"group_8396","","","2","2","1","1","982","1","635","","1130","1130","1130","","","","Tbg972.7.2360","","","TevSTIB805.7.2210"
"group_8399","","","2","2","1","1","986","1","640","","236","236","236","","","","Tbg972.7.2450","","","TevSTIB805.7.2270"
"group_84","","","2","2","1","1","644","1","220","","1925","1934","1929","","LINF_100011200","LmjF.10.0470","","","",""
"group_8401","","","2","2","1","1","987","1","641","","2009","2009","2009","","","","Tbg972.7.2470","","","TevSTIB805.7.2280"
"group_8402","","","2","2","1","1","988","1","642","","1136","1136","1136","","","","Tbg972.7.2480","","","TevSTIB805.7.2290"
"group_8405","","","2","2","1","1","989","1","644","","1337","1337","1337","","","","Tbg972.7.2860","","","TevSTIB805.7.2630"
"group_8408","","","2","2","1","1","992","1","647","","1916","1916","1916","","","","Tbg972.7.2910","","","TevSTIB805.7.2670"
"group_8410","","","2","2","1","1","996","1","651","","1385","1385","1385","","","","Tbg972.7.3030","","","TevSTIB805.7.2760"
"group_8411","","","2","2","1","1","997","1","652","","362","362","362","","","","Tbg972.7.3060","","","TevSTIB805.7.2780"
"group_8412","","","2","2","1","1","1003","1","657","","863","863","863","","","","Tbg972.7.3070","","","TevSTIB805.7.2790"
"group_8418","","","2","2","1","1","1005","1","660","","1073","1073","1073","","","","Tbg972.7.3680","","","TevSTIB805.7.3520"
"group_8419","","","2","2","1","1","1006","1","661","","1103","1103","1103","","","","Tbg972.7.3690","","","TevSTIB805.7.3530"
"group_8424","","","2","2","1","1","1176","1","6633","","815","815","815","","","","Tbg972.7.3900","","","TevSTIB805.7.3720"
"group_8426","","","2","2","1","1","1180","1","6630","","1055","1055","1055","","","","Tbg972.7.4050","","","TevSTIB805.7.3830"
"group_8428","","","2","2","1","1","1182","1","6627","","917","917","917","","","","Tbg972.7.4120","","","TevSTIB805.7.3890"
"group_8432","","","2","2","1","1","1187","1","6626","","995","995","995","","","","Tbg972.7.4400","","","TevSTIB805.7.4180"
"group_8434","","","2","2","1","1","1237","1","6589","","1616","1616","1616","","","","Tbg972.7.4520","","","TevSTIB805.7.4310"
"group_8435","","","2","2","1","1","1239","1","6586","","1502","1502","1502","","","","Tbg972.7.4610","","","TevSTIB805.7.4390"
"group_8437","","","2","2","1","1","1240","1","6585","","815","815","815","","","","Tbg972.7.4680","","","TevSTIB805.7.4470"
"group_8438","","","2","2","1","1","1241","1","6583","","920","920","920","","","","Tbg972.7.4690","","","TevSTIB805.7.4480"
"group_8439","","","2","2","1","1","1243","1","6582","","1277","1277","1277","","","","Tbg972.7.4980","","","TevSTIB805.7.4760"
"group_8441","","","2","2","1","1","1244","1","6581","","2528","2528","2528","","","","Tbg972.7.5040","","","TevSTIB805.7.4810"
"group_8442","","","2","2","1","1","1245","1","6579","","581","581","581","","","","Tbg972.7.5050","","","TevSTIB805.7.4820"
"group_8445","","","2","2","1","1","1246","1","6576","","686","686","686","","","","Tbg972.7.5540","","","TevSTIB805.7.5250"
"group_8446","","","2","2","1","1","1247","1","6575","","1019","1019","1019","","","","Tbg972.7.5560","","","TevSTIB805.7.5260"
"group_8447","","","2","2","1","1","1248","1","6574","","452","452","452","","","","Tbg972.7.5580","","","TevSTIB805.7.5280"
"group_8448","","","2","2","1","1","1249","1","6573","","2561","2561","2561","","","","Tbg972.7.5600","","","TevSTIB805.7.5300"
"group_8449","","","2","2","1","1","1250","1","6572","","4256","4256","4256","","","","Tbg972.7.5630","","","TevSTIB805.7.5310"
"group_8450","","","2","2","1","1","1251","1","6571","","1265","1265","1265","","","","Tbg972.7.5700","","","TevSTIB805.7.5390"
"group_8451","","","2","2","1","1","1252","1","6570","","1187","1187","1187","","","","Tbg972.7.5710","","","TevSTIB805.7.5400"
"group_8452","","","2","2","1","1","1254","1","6569","","2174","2174","2174","","","","Tbg972.7.5980","","","TevSTIB805.7.5640"
"group_8453","","","2","2","1","1","1255","1","6568","","1496","1496","1496","","","","Tbg972.7.6170","","","TevSTIB805.7.5820"
"group_8454","","","2","2","1","1","1257","1","6563","","983","983","983","","","","Tbg972.7.6210","","","TevSTIB805.7.5850"
"group_8459","","","2","2","1","1","1262","1","6557","","3191","3191","3191","","","","Tbg972.7.6680","","","TevSTIB805.7.6300"
"group_8460","","","2","2","1","1","1278","1","6534","","1259","1259","1259","","","","Tbg972.7.6850","","","TevSTIB805.7.6460"
"group_8461","","","2","2","1","1","1279","1","6533","","2231","2231","2231","","","","Tbg972.7.6860","","","TevSTIB805.7.6470"
"group_8462","","","2","2","1","1","1280","1","6532","","644","644","644","","","","Tbg972.7.7130","","","TevSTIB805.7.6750"
"group_8463","","","2","2","1","1","1281","1","6531","","836","836","836","","","","Tbg972.7.7140","","","TevSTIB805.7.6760"
"group_8464","","","2","2","1","1","1283","1","6529","","1637","1637","1637","","","","Tbg972.7.7190","","","TevSTIB805.7.6800"
"group_8465","","","2","2","1","1","1286","1","6330","","2537","2537","2537","","","","Tbg972.7.7470","","","TevSTIB805.7.7060"
"group_8468","","","2","2","1","1","1298","1","6317","","3956","3956","3956","","","","Tbg972.7.8480","","","TevSTIB805.7.7930"
"group_8469","","","2","2","1","1","1297","1","6316","","3125","3125","3125","","","","Tbg972.7.8560","","","TevSTIB805.7.8000"
"group_8470","","","2","2","1","1","1296","1","6313","","275","275","275","","","","Tbg972.7.8690","","","TevSTIB805.7.8110"
"group_8477","","","2","2","1","1","834","1","475","","1808","1808","1808","","","","Tbg972.8.560","","","TevSTIB805.8.880"
"group_8479","","","2","2","1","1","835","1","476","","2654","2654","2654","","","","Tbg972.8.640","","","TevSTIB805.8.970"
"group_8480","","","2","2","1","1","836","1","477","","590","590","590","","","","Tbg972.8.645","","","TevSTIB805.8.980"
"group_8481","","","2","2","1","1","837","1","478","","1028","1028","1028","","","","Tbg972.8.730","","","TevSTIB805.8.1050"
"group_8482","","","2","2","1","1","839","1","480","","4181","4181","4181","","","","Tbg972.8.820","","","TevSTIB805.8.1180"
"group_8483","","","2","2","1","1","840","1","481","","3320","3320","3320","","","","Tbg972.8.840","","","TevSTIB805.8.1190"
"group_8484","","","2","2","1","1","841","1","482","","1223","1223","1223","","","","Tbg972.8.1010","","","TevSTIB805.8.1370"
"group_8485","","","2","2","1","1","842","1","483","","1736","1736","1736","","","","Tbg972.8.1030","","","TevSTIB805.8.1380"
"group_8486","","","2","2","1","1","843","1","484","","1805","1805","1805","","","","Tbg972.8.1060","","","TevSTIB805.8.1410"
"group_8489","","","2","2","1","1","846","1","485","","452","452","452","","","","Tbg972.8.1350","","","TevSTIB805.8.1660"
"group_8490","","","2","2","1","1","847","1","486","","1763","1763","1763","","","","Tbg972.8.1360","","","TevSTIB805.8.1670"
"group_8491","","","2","2","1","1","848","1","487","","3092","3092","3092","","","","Tbg972.8.1490","","","TevSTIB805.8.1790"
"group_8492","","","2","2","1","1","849","1","488","","1850","1850","1850","","","","Tbg972.8.1500","","","TevSTIB805.8.1800"
"group_8493","","","2","2","1","1","850","1","489","","572","572","572","","","","Tbg972.8.1510","","","TevSTIB805.8.1810"
"group_8494","","","2","2","1","1","826","1","468","","1184","1184","1184","","","","Tbg972.8.1540","","","TevSTIB805.8.1830"
"group_8495","","","2","2","1","1","825","1","467","","1184","1184","1184","","","","Tbg972.8.1550","","","TevSTIB805.8.1840"
"group_8496","","","2","2","1","1","824","1","464","","1316","1316","1316","","","","Tbg972.8.2020","","","TevSTIB805.8.2500"
"group_8497","","","2","2","1","1","823","1","463","","1889","1889","1889","","","","Tbg972.8.2030","","","TevSTIB805.8.2510"
"group_8500","","","2","2","1","1","820","1","460","","5762","5762","5762","","","","Tbg972.8.2170","","","TevSTIB805.8.2630"
"group_8505","","","2","2","1","1","817","1","452","","512","512","512","","","","Tbg972.8.2450","","","TevSTIB805.8.2860"
"group_8506","","","2","2","1","1","813","1","451","","824","827","825","","","","Tbg972.8.3400","","","TevSTIB805.8.3790"
"group_8507","","","2","2","1","1","812","1","450","","1172","1172","1172","","","","Tbg972.8.3520","","","TevSTIB805.8.3920"
"group_8508","","","2","2","1","1","811","1","449","","1019","1019","1019","","","","Tbg972.8.3530","","","TevSTIB805.8.3930"
"group_8512","","","2","2","1","1","806","1","447","","317","317","317","","","","Tbg972.8.4140","","","TevSTIB805.8.4520"
"group_8513","","","2","2","1","1","805","1","446","","1427","1427","1427","","","","Tbg972.8.4150","","","TevSTIB805.8.4530"
"group_8514","","","2","2","1","1","804","1","445","","1328","1328","1328","","","","Tbg972.8.4700","","","TevSTIB805.8.5050"
"group_8516","","","2","2","1","1","802","1","444","","1331","1331","1331","","","","Tbg972.8.4810","","","TevSTIB805.8.5200"
"group_8517","","","2","2","1","1","801","1","443","","581","581","581","","","","Tbg972.8.4830","","","TevSTIB805.8.5210"
"group_8518","","","2","2","1","1","800","1","442","","1733","1733","1733","","","","Tbg972.8.4980","","","TevSTIB805.8.5310"
"group_8519","","","2","2","1","1","799","1","441","","1727","1727","1727","","","","Tbg972.8.4990","","","TevSTIB805.8.5320"
"group_8520","","","2","2","1","1","798","1","440","","287","287","287","","","","Tbg972.8.5000","","","TevSTIB805.8.5330"
"group_8521","","","2","2","1","1","797","1","439","","770","770","770","","","","Tbg972.8.5080","","","TevSTIB805.8.5380"
"group_8522","","","2","2","1","1","796","1","438","","5366","5366","5366","","","","Tbg972.8.5100","","","TevSTIB805.8.5390"
"group_8524","","","2","2","1","1","794","1","436","","1886","1886","1886","","","","Tbg972.8.5370","","","TevSTIB805.8.5640"
"group_8525","","","2","2","1","1","792","1","434","","647","647","647","","","","Tbg972.8.5390","","","TevSTIB805.8.5660"
"group_8527","","","2","2","1","1","790","1","432","","524","524","524","","","","Tbg972.8.5670","","","TevSTIB805.8.5930"
"group_8530","","","2","2","1","1","787","1","428","","668","668","668","","","","Tbg972.8.5740","","","TevSTIB805.8.6000"
"group_8531","","","2","2","1","1","786","1","426","","2636","2636","2636","","","","Tbg972.8.5750","","","TevSTIB805.8.6010"
"group_8534","","","2","2","1","1","783","1","421","","2843","2843","2843","","","","Tbg972.8.6320","","","TevSTIB805.8.6550"
"group_8537","","","2","2","1","1","778","1","416","","1844","1844","1844","","","","Tbg972.8.6910","","","TevSTIB805.8.7060"
"group_8538","","","2","2","1","1","777","1","415","","512","512","512","","","","Tbg972.8.6930","","","TevSTIB805.8.7070"
"group_8539","","","2","2","1","1","776","1","414","","1292","1292","1292","","","","Tbg972.8.7010","","","TevSTIB805.8.7140"
"group_8540","","","2","2","1","1","775","1","413","","5459","5459","5459","","","","Tbg972.8.7020","","","TevSTIB805.8.7150"
"group_8544","","","2","2","1","1","772","1","407","","3023","3023","3023","","","","Tbg972.8.7620","","","TevSTIB805.8.7710"
"group_8545","","","2","2","1","1","771","1","406","","1013","1013","1013","","","","Tbg972.8.7630","","","TevSTIB805.8.7720"
"group_8546","","","2","2","1","1","770","1","405","","1640","1640","1640","","","","Tbg972.8.7640","","","TevSTIB805.8.7730"
"group_8547","","","2","2","1","1","767","1","402","","3314","3314","3314","","","","Tbg972.8.8060","","","TevSTIB805.8.8180"
"group_8549","","","2","2","1","1","766","1","401","","944","944","944","","","","Tbg972.8.8340","","","TevSTIB805.8.8500"
"group_8550","","","2","2","1","1","765","1","400","","617","617","617","","","","Tbg972.8.8360","","","TevSTIB805.8.8510"
"group_8552","","","2","2","1","1","4732","1","5280","","2114","2114","2114","","","","Tbg972.9.670","","","TevSTIB805.9.1490"
"group_8554","","","2","2","1","1","4734","1","5282","","1610","1610","1610","","","","Tbg972.9.1230","","","TevSTIB805.9.2050"
"group_8555","","","2","2","1","1","4735","1","5283","","1028","1028","1028","","","","Tbg972.9.1240","","","TevSTIB805.9.2060"
"group_8556","","","2","2","1","1","4736","1","5284","","1130","1130","1130","","","","Tbg972.9.1520","","","TevSTIB805.9.2230"
"group_8559","","","2","2","1","1","4739","1","5291","","260","260","260","","","","Tbg972.9.1810","","","TevSTIB805.9.2630"
"group_8560","","","2","2","1","1","4740","1","5292","","800","800","800","","","","Tbg972.9.1820","","","TevSTIB805.9.2640"
"group_8561","","","2","2","1","1","4741","1","5293","","1661","1661","1661","","","","Tbg972.9.1870","","","TevSTIB805.9.2700"
"group_8563","","","2","2","1","1","4668","1","5277","","4103","4103","4103","","","","Tbg972.9.1910","","","TevSTIB805.9.2740"
"group_8566","","","2","2","1","1","4665","1","5275","","1796","1796","1796","","","","Tbg972.9.2000","","","TevSTIB805.9.2830"
"group_8567","","","2","2","1","1","4664","1","5272","","530","530","530","","","","Tbg972.9.2040","","","TevSTIB805.9.2880"
"group_8568","","","2","2","1","1","4663","1","5271","","2198","2198","2198","","","","Tbg972.9.2050","","","TevSTIB805.9.2890"
"group_8569","","","2","2","1","1","4662","1","5270","","3944","3944","3944","","","","Tbg972.9.2130","","","TevSTIB805.9.2990"
"group_8572","","","2","2","1","1","4654","1","3664","","2636","2636","2636","","","","Tbg972.9.2540","","","TevSTIB805.9.3520"
"group_8575","","","2","2","1","1","4651","1","3667","","1262","1262","1262","","","","Tbg972.9.3040","","","TevSTIB805.9.4220"
"group_8577","","","2","2","1","1","4648","1","3670","","2375","2375","2375","","","","Tbg972.9.3230","","","TevSTIB805.9.4450"
"group_8581","","","2","2","1","1","4644","1","3676","","3065","3065","3065","","","","Tbg972.9.3460","","","TevSTIB805.9.4680"
"group_8582","","","2","2","1","1","4642","1","3678","","629","629","629","","","","Tbg972.9.3500","","","TevSTIB805.9.4740"
"group_8583","","","2","2","1","1","4641","1","3679","","1406","1406","1406","","","","Tbg972.9.3510","","","TevSTIB805.9.4750"
"group_8584","","","2","2","1","1","4640","1","3680","","701","701","701","","","","Tbg972.9.3710","","","TevSTIB805.9.5020"
"group_8585","","","2","2","1","1","4639","1","3681","","680","680","680","","","","Tbg972.9.3720","","","TevSTIB805.9.5030"
"group_8586","","","2","2","1","1","4638","1","3682","","1415","1415","1415","","","","Tbg972.9.3850","","","TevSTIB805.9.5170"
"group_8587","","","2","2","1","1","4637","1","3683","","5072","5072","5072","","","","Tbg972.9.3860","","","TevSTIB805.9.5180"
"group_8588","","","2","2","1","1","4635","1","3685","","1040","1040","1040","","","","Tbg972.9.4080","","","TevSTIB805.9.5440"
"group_8590","","","2","2","1","1","4631","1","3689","","569","569","569","","","","Tbg972.9.4160","","","TevSTIB805.9.5510"
"group_8592","","","2","2","1","1","4628","1","3691","","965","965","965","","","","Tbg972.9.4240","","","TevSTIB805.9.5590"
"group_8593","","","2","2","1","1","3913","1","3695","","1619","1619","1619","","","","Tbg972.9.4370","","","TevSTIB805.9.5760"
"group_8594","","","2","2","1","1","3914","1","3696","","1457","1457","1457","","","","Tbg972.9.4530","","","TevSTIB805.9.5950"
"group_86","","","2","2","1","1","645","1","221","","1799","1808","1803","","LINF_100011300","LmjF.10.0480","","","",""
"group_8601","","","2","2","1","1","4884","1","5484","","938","938","938","","","","Tbg972.9.5720","","","TevSTIB805.9.7100"
"group_8602","","","2","2","1","1","4885","1","5482","","1469","1469","1469","","","","Tbg972.9.5730","","","TevSTIB805.9.7110"
"group_8603","","","2","2","1","1","4886","1","5481","","1616","1616","1616","","","","Tbg972.9.5740","","","TevSTIB805.9.7120"
"group_8604","","","2","2","1","1","4887","1","5480","","1346","1346","1346","","","","Tbg972.9.5750","","","TevSTIB805.9.7130"
"group_8607","","","2","2","1","1","4877","1","5475","","269","269","269","","","","Tbg972.9.6380","","","TevSTIB805.9.7750"
"group_8608","","","2","2","1","1","4876","1","5474","","1007","1007","1007","","","","Tbg972.9.6400","","","TevSTIB805.9.7760"
"group_8617","","","2","2","1","1","2805","1","5473","","2045","2045","2045","","","","Tbg972.9.7530","","","TevSTIB805.9.8830"
"group_8621","","","2","2","1","1","2819","1","5459","","1355","1355","1355","","","","Tbg972.9.7790","","","TevSTIB805.9.9130"
"group_8622","","","2","2","1","1","2818","1","5458","","1241","1241","1241","","","","Tbg972.9.7800","","","TevSTIB805.9.9140"
"group_8623","","","2","2","1","1","2817","1","5457","","3068","3068","3068","","","","Tbg972.9.7820","","","TevSTIB805.9.9170"
"group_8628","","","2","2","1","1","2813","1","5456","","1469","1469","1469","","","","Tbg972.9.8450","","","TevSTIB805.9.9760"
"group_8632","","","2","2","1","1","6040","1","5449","","1574","1574","1574","","","","Tbg972.9.8770","","","TevSTIB805.9.10030"
"group_8634","","","2","2","1","1","6043","1","5446","","1562","1562","1562","","","","Tbg972.9.8850","","","TevSTIB805.9.10100"
"group_8635","","","2","2","1","1","6045","1","5444","","1082","1082","1082","","","","Tbg972.9.9040","","","TevSTIB805.9.10280"
"group_8636","","","2","2","1","1","6046","1","5443","","1154","1154","1154","","","","Tbg972.9.9060","","","TevSTIB805.9.10300"
"group_8642","","","2","2","1","1","6060","1","5121","","2693","2693","2693","","","","Tbg972.9.9500","","","TevSTIB805.9.10820"
"group_8643","","","2","2","1","1","6061","1","5122","","9146","9146","9146","","","","Tbg972.9.9560","","","TevSTIB805.9.10870"
"group_8644","","","2","2","1","1","6071","1","5112","","2045","2045","2045","","","","Tbg972.9.9600","","","TevSTIB805.9.10910"
"group_8645","","","2","2","1","1","6070","1","5111","","1652","1670","1661","","","","Tbg972.9.9610","","","TevSTIB805.9.10920"
"group_8648","","","2","2","1","1","6068","1","5107","","686","686","686","","","","Tbg972.9.9860","","","TevSTIB805.9.11210"
"group_8652","","","2","2","1","1","6501","1","3995","","887","887","887","","","","Tbg972.10.260","","","TevSTIB805.10.380"
"group_8653","","","2","2","1","1","6502","1","3996","","1538","1538","1538","","","","Tbg972.10.280","","","TevSTIB805.10.390"
"group_8655","","","2","2","1","1","6505","1","3997","","1604","1604","1604","","","","Tbg972.10.630","","","TevSTIB805.10.680"
"group_8656","","","2","2","1","1","6506","1","3999","","1973","1973","1973","","","","Tbg972.10.640","","","TevSTIB805.10.690"
"group_8661","","","2","2","1","1","6511","1","4004","","1391","1391","1391","","","","Tbg972.10.1620","","","TevSTIB805.10.1530"
"group_8662","","","2","2","1","1","6512","1","4005","","737","737","737","","","","Tbg972.10.1630","","","TevSTIB805.10.1540"
"group_8665","","","2","2","1","1","6513","1","4006","","2447","2447","2447","","","","Tbg972.10.1800","","","TevSTIB805.10.1640"
"group_8666","","","2","2","1","1","6514","1","4008","","1694","1694","1694","","","","Tbg972.10.1820","","","TevSTIB805.10.1650"
"group_8669","","","2","2","1","1","6515","1","4010","","221","221","221","","","","Tbg972.10.2120","","","TevSTIB805.10.1910"
"group_8671","","","2","2","1","1","6518","1","4012","","2420","2420","2420","","","","Tbg972.10.2290","","","TevSTIB805.10.2040"
"group_8672","","","2","2","1","1","6519","1","4013","","4604","4604","4604","","","","Tbg972.10.2310","","","TevSTIB805.10.2050"
"group_8673","","","2","2","1","1","6520","1","4014","","830","830","830","","","","Tbg972.10.2820","","","TevSTIB805.10.2500"
"group_8674","","","2","2","1","1","6521","1","4015","","293","293","293","","","","Tbg972.10.2830","","","TevSTIB805.10.2510"
"group_8675","","","2","2","1","1","6522","1","4016","","776","788","782","","","","Tbg972.10.2850","","","TevSTIB805.10.2520"
"group_8678","","","2","2","1","1","6525","1","4020","","1652","1652","1652","","","","Tbg972.10.3060","","","TevSTIB805.10.2660"
"group_8679","","","2","2","1","1","6526","1","4021","","2858","2858","2858","","","","Tbg972.10.3080","","","TevSTIB805.10.2670"
"group_8680","","","2","2","1","1","6527","1","4022","","2198","2198","2198","","","","Tbg972.10.3140","","","TevSTIB805.10.2720"
"group_8681","","","2","2","1","1","6528","1","4023","","668","668","668","","","","Tbg972.10.3150","","","TevSTIB805.10.2730"
"group_8682","","","2","2","1","1","6529","1","4024","","1454","1454","1454","","","","Tbg972.10.3250","","","TevSTIB805.10.2830"
"group_8683","","","2","2","1","1","6530","1","4025","","578","578","578","","","","Tbg972.10.3260","","","TevSTIB805.10.2840"
"group_8684","","","2","2","1","1","6531","1","4026","","2600","2600","2600","","","","Tbg972.10.3620","","","TevSTIB805.10.3140"
"group_8685","","","2","2","1","1","6534","1","4028","","1184","1184","1184","","","","Tbg972.10.3900","","","TevSTIB805.10.3330"
"group_8687","","","2","2","1","1","6544","1","4038","","2111","2111","2111","","","","Tbg972.10.4110","","","TevSTIB805.10.3510"
"group_8688","","","2","2","1","1","6545","1","4039","","464","464","464","","","","Tbg972.10.4140","","","TevSTIB805.10.3520"
"group_8690","","","2","2","1","1","6549","1","4042","","1853","1853","1853","","","","Tbg972.10.4320","","","TevSTIB805.10.3680"
"group_8692","","","2","2","1","1","6552","1","4045","","3698","3698","3698","","","","Tbg972.10.4540","","","TevSTIB805.10.3880"
"group_8693","","","2","2","1","1","6553","1","4046","","1211","1211","1211","","","","Tbg972.10.4560","","","TevSTIB805.10.3890"
"group_8694","","","2","2","1","1","6554","1","4047","","1442","1442","1442","","","","Tbg972.10.4640","","","TevSTIB805.10.3970"
"group_8695","","","2","2","1","1","6555","1","4048","","1556","1556","1556","","","","Tbg972.10.4670","","","TevSTIB805.10.3980"
"group_8696","","","2","2","1","1","6565","1","3822","","467","473","470","","","","Tbg972.10.4920","","","TevSTIB805.10.4210"
"group_87","","","2","2","1","1","642","1","274","","1796","1808","1802","","LINF_100010100","LmjF.10.0460","","","",""
"group_8704","","","2","2","1","1","6569","1","2640","","3281","3281","3281","","","","Tbg972.10.6270","","","TevSTIB805.10.5460"
"group_8705","","","2","2","1","1","6570","1","2641","","2921","2921","2921","","","","Tbg972.10.6290","","","TevSTIB805.10.5480"
"group_8706","","","2","2","1","1","6571","1","2642","","947","947","947","","","","Tbg972.10.6320","","","TevSTIB805.10.5490"
"group_8707","","","2","2","1","1","6572","1","2643","","1967","1967","1967","","","","Tbg972.10.6390","","","TevSTIB805.10.5550"
"group_8709","","","2","2","1","1","6575","1","2646","","971","971","971","","","","Tbg972.10.6720","","","TevSTIB805.10.5860"
"group_8710","","","2","2","1","1","6576","1","2647","","1562","1562","1562","","","","Tbg972.10.6730","","","TevSTIB805.10.5870"
"group_8711","","","2","2","1","1","6577","1","2648","","815","815","815","","","","Tbg972.10.6740","","","TevSTIB805.10.5880"
"group_8712","","","2","2","1","1","6579","1","2649","","1184","1184","1184","","","","Tbg972.10.6900","","","TevSTIB805.10.6020"
"group_8714","","","2","2","1","1","6581","1","2652","","647","647","647","","","","Tbg972.10.6990","","","TevSTIB805.10.6110"
"group_8715","","","2","2","1","1","6582","1","2653","","1640","1640","1640","","","","Tbg972.10.7090","","","TevSTIB805.10.6180"
"group_8716","","","2","2","1","1","6583","1","2654","","1484","1484","1484","","","","Tbg972.10.7270","","","TevSTIB805.10.6300"
"group_8717","","","2","2","1","1","6584","1","2655","","1379","1379","1379","","","","Tbg972.10.7300","","","TevSTIB805.10.6310"
"group_8718","","","2","2","1","1","6585","1","2656","","536","536","536","","","","Tbg972.10.7370","","","TevSTIB805.10.6370"
"group_8719","","","2","2","1","1","6586","1","2657","","800","800","800","","","","Tbg972.10.7380","","","TevSTIB805.10.6380"
"group_8720","","","2","2","1","1","6587","1","2658","","2072","2072","2072","","","","Tbg972.10.7610","","","TevSTIB805.10.6580"
"group_8721","","","2","2","1","1","6588","1","2659","","1211","1211","1211","","","","Tbg972.10.7620","","","TevSTIB805.10.6590"
"group_8722","","","2","2","1","1","6589","1","2660","","4784","4784","4784","","","","Tbg972.10.7730","","","TevSTIB805.10.6690"
"group_8723","","","2","2","1","1","6590","1","2661","","1211","1211","1211","","","","Tbg972.10.7740","","","TevSTIB805.10.6700"
"group_8725","","","2","2","1","1","6591","1","2663","","761","761","761","","","","Tbg972.10.8130","","","TevSTIB805.10.7010"
"group_8726","","","2","2","1","1","6593","1","2667","","326","326","326","","","","Tbg972.10.8160","","","TevSTIB805.10.7030"
"group_8730","","","2","2","1","1","6597","1","2670","","2540","2540","2540","","","","Tbg972.10.8820","","","TevSTIB805.10.7660"
"group_8731","","","2","2","1","1","6599","1","2672","","2156","2156","2156","","","","Tbg972.10.9040","","","TevSTIB805.10.7840"
"group_8732","","","2","2","1","1","6600","1","2673","","1049","1049","1049","","","","Tbg972.10.9050","","","TevSTIB805.10.7850"
"group_8733","","","2","2","1","1","6601","1","2674","","1418","1418","1418","","","","Tbg972.10.9110","","","TevSTIB805.10.7900"
"group_8734","","","2","2","1","1","6602","1","2675","","332","332","332","","","","Tbg972.10.9340","","","TevSTIB805.10.8110"
"group_8736","","","2","2","1","1","6603","1","2677","","2174","2174","2174","","","","Tbg972.10.9420","","","TevSTIB805.10.8170"
"group_8737","","","2","2","1","1","6604","1","2678","","2006","2006","2006","","","","Tbg972.10.9440","","","TevSTIB805.10.8180"
"group_8739","","","2","2","1","1","6605","1","2679","","593","593","593","","","","Tbg972.10.9510","","","TevSTIB805.10.8240"
"group_8740","","","2","2","1","1","36","1","2680","","692","692","692","","","","Tbg972.10.9530","","","TevSTIB805.10.8250"
"group_8743","","","2","2","1","1","33","1","2681","","521","521","521","","","","Tbg972.10.10040","","","TevSTIB805.10.8710"
